StudentID,Name,Age,Gender,Course,Year,Marks,Email,Phone,City
83,Michael Evans,18,Female,BBA,3,79,clarkdavid@bradshaw.com,0975066991,Ahmedabad
84,Paul Jones,30,Other,MCA,4,99,obrienjulie@wilson.biz,8594416493,Pune
85,Zachary Ferrell,20,Other,Diploma,3,61,robinwilliams@griffith.net,5685402621,Mumbai
86,Daniel Baker,30,Male,B.Sc,1,63,jamesdean@hotmail.com,3632351852,Hyderabad
87,Shirley Suarez,18,Male,Diploma,2,84,carterjames@rogers-herrera.com,5613073987,Hyderabad
88,Christopher Bass,23,Other,Diploma,2,33,kimberly12@yahoo.com,5443007457,Mumbai
89,Lisa Archer,21,Female,Diploma,1,64,davisandrew@vega.com,4651831633,Kolkata
90,Aimee Montoya,24,Female,B.Com,3,87,tina29@bennett-smith.org,6305757866,Lucknow
91,Matthew Mcmillan,27,Male,B.Tech,2,95,virginia56@cochran.com,5076660695,Bengaluru
92,Brian Rodriguez,30,Male,MCA,1,69,david97@frank.info,6106896553,Bengaluru
93,Denise Jacobs,22,Male,BBA,3,49,joshuacoleman@dunn-fernandez.biz,4141240439,Delhi
94,Christina Walters,19,Other,Diploma,4,38,jasonjohnson@gmail.com,5960001820,Ahmedabad
95,John Whitehead,22,Female,MCA,4,86,thomastimothy@henderson.org,3881939271,Mumbai
96,Anna Henderson,22,Other,MBA,3,31,fhall@brown-george.com,8198792165,Kolkata
97,Aaron Wise,20,Other,BBA,4,49,reynoldsmichelle@gmail.com,7576018086,Jaipur
98,Deborah Figueroa,27,Female,MBA,4,73,davidheath@hotmail.com,6249152893,Pune
99,Jessica Smith,21,Other,B.Tech,1,43,luis20@haynes.com,6517731319,Delhi
100,Stephen Mckee,28,Male,B.Tech,3,79,martinezchristina@frye-elliott.info,1352762559,Jaipur
101,Sandra Aguilar,27,Other,B.Tech,3,48,torozco@hotmail.com,1182566516,Pune
102,Cameron Parker,27,Other,B.Com,3,50,scott55@coleman-thompson.com,2715483628,Ahmedabad
103,Rebecca Valencia,18,Female,MBA,3,75,iskinner@yahoo.com,3503346074,Mumbai
104,Christine Wright,26,Other,MBA,4,61,csmith@hotmail.com,5744654482,Pune
105,Richard Henson,27,Other,B.Tech,2,82,robleswillie@clark.biz,9821255887,Pune
106,Marc Moore,19,Male,MBA,4,65,colejoshua@burns.net,0315134650,Chennai
107,Sharon Cherry,25,Other,MCA,4,99,blacklisa@diaz.com,9963874477,Bengaluru
108,Sierra Johnson,28,Male,B.Sc,2,99,fordjames@gmail.com,2538341065,Mumbai
109,Evelyn Galvan,20,Female,MCA,2,46,dgarcia@yahoo.com,6656206703,Delhi
110,Sharon Cochran,19,Other,MBA,4,30,christopher04@booker-finley.info,7774410843,Pune
111,Richard Rodriguez,24,Female,MBA,3,94,lauriethompson@hotmail.com,8200340935,Bengaluru
112,Shannon Walker,23,Male,MCA,4,58,smithryan@schmidt-rice.com,7320310666,Lucknow
113,Julia Torres,21,Female,MBA,1,64,mwarner@yahoo.com,8478879788,Mumbai
114,Crystal Johnson,27,Male,B.Tech,1,98,harrisanna@yahoo.com,9579711491,Ahmedabad
115,Garrett Lin,28,Male,BA,4,81,catherinemoore@weeks-massey.biz,1906923951,Chennai
116,Diana May,25,Male,BA,3,98,christianrichards@hotmail.com,7866868998,Lucknow
117,William Herrera,20,Male,BA,1,94,hollyalvarez@brown.biz,3265030524,Lucknow
118,Ashley Waller,27,Other,BBA,2,59,vgarcia@hotmail.com,0765133529,Bengaluru
119,Victor Baker,22,Male,B.Sc,3,35,popebrent@tucker.com,6039610849,Jaipur
120,Jeffrey Chandler,30,Male,B.Sc,3,85,brenda88@hoover.com,4538687612,Lucknow
121,Larry Dixon,29,Other,BBA,3,47,john15@williams.org,6213545614,Delhi
122,Kenneth Scott,29,Female,B.Sc,3,63,deborah97@logan-rice.info,8348995312,Lucknow
123,April Frost,17,Male,MBA,4,80,gonzalezbrittany@martinez.com,9040024170,Jaipur
124,Michelle Harmon,20,Female,B.Com,4,91,godonnell@robinson.com,3733134241,Bengaluru
125,Helen Jones,30,Other,B.Tech,1,49,pduncan@gmail.com,6217794292,Ahmedabad
126,Erin Edwards,17,Male,MBA,2,97,samuel38@garza.com,2748215175,Delhi
127,Michelle Evans,29,Male,B.Tech,2,86,joneslynn@yahoo.com,3132404961,Jaipur
128,Jason Powell,22,Female,Diploma,3,38,qcharles@johnson.com,9662714570,Bengaluru
129,Cameron Fisher,23,Other,MCA,4,84,danieljenkins@gmail.com,8623785771,Pune
130,Megan Orr,21,Male,MCA,4,32,cody81@wood.org,9993917670,Hyderabad
131,Elizabeth Kelley,18,Female,BBA,1,38,phyllismiller@yahoo.com,2796244527,Chennai
132,Dustin Jordan,20,Male,B.Tech,3,41,sarah80@waller.com,0398780646,Chennai
133,Mary Marshall,26,Male,Diploma,4,68,eugenemartinez@yahoo.com,8684987493,Ahmedabad
134,Daniel Kennedy,28,Male,B.Tech,2,39,xcompton@randolph-ryan.com,2686870375,Delhi
135,Rebecca Jackson,22,Other,MBA,4,57,amber67@kennedy-davis.com,4576530924,Ahmedabad
136,Jose Schultz,20,Other,MCA,2,44,telliott@powell.com,8132225750,Mumbai
137,Robert Potter,27,Male,MCA,4,61,lacey96@hotmail.com,6643509455,Jaipur
138,Courtney Gonzalez,24,Male,MBA,1,75,zbarber@harding.com,9266224776,Pune
139,David Alvarez,23,Other,B.Sc,1,50,chapmanjerome@gmail.com,8071002458,Kolkata
140,Angel Perry,27,Female,Diploma,4,56,tylerrodney@yahoo.com,7939969793,Lucknow
141,Cheyenne Horton,24,Male,B.Sc,2,82,snyderandrea@gmail.com,8338768838,Kolkata
142,David Douglas Jr.,19,Female,BA,2,43,zmitchell@tran.com,5817386816,Bengaluru
143,Patricia Rodriguez,21,Other,MBA,1,59,zcarpenter@santiago.com,5079937873,Pune
144,Christopher Rubio,19,Other,Diploma,3,57,mary66@hotmail.com,6849603342,Lucknow
145,Amber Wright,20,Female,MBA,2,90,selena60@chavez-edwards.com,8672266281,Kolkata
146,Joyce Solis,28,Other,B.Com,2,82,hernandezmatthew@yahoo.com,7786739718,Bengaluru
147,Victoria Larson,25,Male,BBA,4,30,tinakelly@petersen.com,9746899330,Mumbai
148,Stephanie Salazar,25,Female,MBA,4,73,shawaudrey@adams.net,0624261033,Chennai
149,Kathy Rivas,21,Female,MCA,3,53,beardderrick@foster-hernandez.net,7365188491,Lucknow
150,Stephanie Manning,28,Female,BA,2,61,colemancindy@gmail.com,1329406357,Jaipur
151,David Wright,26,Male,Diploma,4,35,charles19@wright.com,3985726850,Chennai
152,Pamela Boyd,23,Male,B.Sc,3,62,nrodriguez@cortez-kline.com,3858009998,Delhi
153,Denise Jones,26,Other,BA,3,71,bradleyscott@dixon.com,4505149048,Chennai
154,Devon Flores,23,Female,BBA,3,95,rebecca44@thomas-martinez.com,5434536499,Hyderabad
155,Brenda Hall,22,Other,BBA,1,42,debra34@yahoo.com,7997722226,Kolkata
156,Michelle Brown,20,Female,B.Tech,3,81,emorales@campos-washington.com,3300270275,Lucknow
157,Joshua Perry,19,Other,BBA,4,72,brooke98@williams.com,6938051453,Mumbai
158,Jason Stein,25,Female,MCA,2,32,jwhitaker@gmail.com,1681207500,Delhi
159,Melissa Gates,24,Male,BA,4,51,ramosrobert@gmail.com,5585939224,Kolkata
160,Jamie Smith,18,Other,B.Sc,4,76,cindy66@gardner-jensen.net,5232214894,Hyderabad
161,Paul Castaneda,29,Other,B.Sc,4,65,jhorton@collins-hunter.org,1769933038,Lucknow
162,Jennifer Adkins,17,Other,MBA,3,68,murphybrianna@yahoo.com,9070569510,Lucknow
163,Lindsey Walker,30,Other,BBA,4,93,martinezdennis@frazier.info,1287408117,Pune
164,Jeffrey Johnson,18,Female,B.Sc,2,48,heidijames@hotmail.com,8214528789,Ahmedabad
165,Michael Powell,19,Male,Diploma,2,63,daniel71@vega-brown.org,2893028405,Mumbai
166,John Anderson,27,Other,MCA,4,45,robertwright@hotmail.com,0560831912,Pune
167,Alyssa Long,19,Other,BA,3,42,robertsonjordan@greene-gray.com,8965498184,Lucknow
168,Alyssa Day,29,Male,MBA,1,84,wheelerdenise@roman-evans.org,8654719270,Bengaluru
169,Joel Williams,27,Female,B.Sc,3,70,brandonknapp@yahoo.com,4870566230,Delhi
170,Daniel Murphy,23,Female,BBA,4,34,areynolds@gmail.com,9446150123,Lucknow
171,Jamie Walton,26,Other,BBA,2,54,abaker@yahoo.com,5660505908,Hyderabad
172,Darlene Miller,18,Other,MCA,1,67,fgrimes@yahoo.com,5789379391,Jaipur
173,Joshua Cooke,23,Female,MBA,4,65,duncankimberly@yahoo.com,3729903521,Ahmedabad
174,Matthew Harrington,23,Male,BA,4,33,jameshunter@hotmail.com,0276471424,Chennai
175,Nicole Herring,26,Male,MCA,4,83,yanderson@scott-sullivan.biz,1902662377,Mumbai
176,Alex Hernandez,24,Other,MCA,4,81,kayleerogers@brown-sanders.com,3098314523,Hyderabad
177,Michael Elliott,25,Male,BBA,2,38,sarasmith@hotmail.com,4633287425,Kolkata
178,Michael Wang,21,Other,Diploma,1,90,melissawilson@gmail.com,6805800058,Lucknow
179,Lawrence Adkins,25,Other,B.Com,2,91,sylviayates@yahoo.com,5750154385,Jaipur
180,Robert Oconnell,30,Female,B.Tech,2,38,icollins@yahoo.com,7794914881,Bengaluru
181,Alexander Collins,17,Other,B.Com,1,96,fjohnson@campbell.com,6619954171,Kolkata
182,Tina Sanders,27,Male,Diploma,4,46,amanda86@gmail.com,6266688545,Chennai
183,Angela Vaughn,28,Male,BA,1,63,rodriguezbrianna@olson-simpson.net,7766599599,Jaipur
184,Ashley Barton,18,Other,Diploma,3,98,nancythompson@khan.com,4238162266,Jaipur
185,Lindsay Martinez,27,Female,BBA,2,99,ttaylor@yahoo.com,8614628836,Kolkata
186,Dr. Hannah Patterson,25,Other,MCA,2,35,daniellecoleman@gmail.com,5331513135,Chennai
187,Jonathan Peterson,29,Male,B.Tech,4,99,brianrice@moss.com,0278473447,Mumbai
188,Samantha Garcia,21,Other,BA,1,99,lreed@cruz.net,2391761968,Bengaluru
189,Madison Poole,29,Other,MBA,3,30,miguelbaker@hotmail.com,8431357408,Delhi
190,Jessica Gross,27,Male,Diploma,1,81,david83@nguyen.com,0739729617,Ahmedabad
191,Debra Morton,22,Female,B.Com,4,89,loweruben@delgado-mitchell.info,7990618344,Jaipur
192,Karen Graham,18,Male,BA,2,100,mollybruce@gmail.com,8095455192,Delhi
193,Debra Christian,21,Female,B.Com,2,48,sherylmoore@rollins.info,8634840161,Pune
194,Angelica Keith,23,Other,BBA,4,42,xgonzales@duran-sanchez.com,9144533752,Ahmedabad
195,John Bishop,19,Male,MCA,3,64,mjackson@ryan.info,9146164157,Jaipur
196,Allen Rosales,24,Male,MCA,2,40,penabruce@gmail.com,8409134178,Mumbai
197,Daniel Salinas,17,Female,MBA,2,86,margaretscott@hotmail.com,7195714514,Pune
198,Spencer Haynes,28,Female,B.Sc,4,64,hughesvirginia@nguyen.net,9558387368,Pune
199,Adam Vaughan,28,Male,BA,2,82,claudia35@ibarra.com,6180843881,Kolkata
200,Nathan Freeman,21,Other,MCA,3,96,espinozarandy@wagner-palmer.com,7230990704,Chennai
201,Melissa Brewer,25,Male,BBA,2,43,vanessa44@yahoo.com,0300604519,Delhi
202,Ricky Davis II,29,Other,BBA,3,58,jose08@gmail.com,8733002763,Hyderabad
203,Elizabeth Perkins,19,Other,B.Com,1,71,alvarezchristine@yahoo.com,3736950432,Jaipur
204,Joseph Coleman,25,Other,BBA,1,53,maydebra@caldwell.com,4735352265,Lucknow
205,Erin Warner,18,Other,BA,2,80,morgan69@hotmail.com,5397345135,Mumbai
206,David Martinez,30,Female,MCA,4,78,nicoleduran@hotmail.com,2606009897,Delhi
207,Bryan Herrera,27,Female,BA,4,63,victoria57@warner.info,5143164119,Pune
208,Cathy Robinson,21,Male,B.Sc,2,99,nicholas01@downs.com,5640254260,Kolkata
209,Dr. William Warren,30,Female,B.Com,4,84,david38@perez.com,2384357993,Lucknow
210,Brian Lee,27,Male,BA,2,98,theresagalloway@dunn.com,5892251747,Bengaluru
211,Christopher Smith,25,Male,B.Tech,2,61,zacharyrobertson@joseph.com,9775655128,Jaipur
212,Denise Mccann,26,Other,BA,4,80,davidvelasquez@lopez.com,3836766570,Delhi
213,Melissa Martinez,20,Male,BBA,1,100,holtpaul@gray-williams.com,2213387534,Hyderabad
214,Katherine Salas,19,Female,Diploma,3,86,jmartinez@gmail.com,8354574988,Mumbai
215,Julie Alexander,22,Female,Diploma,2,69,nathanrobles@yahoo.com,8252543093,Chennai
216,Anthony Everett,29,Male,MCA,2,94,rachaelroberts@santos-davidson.com,1517346606,Ahmedabad
217,Rodney Morales,19,Other,MCA,4,78,yhill@may.org,4715756108,Mumbai
218,Mark Brown,25,Male,B.Tech,1,69,johnsonjames@gmail.com,0221239551,Delhi
219,Justin Torres,29,Male,BA,1,41,amoon@yahoo.com,2328541422,Ahmedabad
220,Bailey Duran DDS,25,Female,B.Com,1,71,stephanie96@yahoo.com,2144537150,Mumbai
221,Courtney Mills,17,Female,BBA,4,73,andrew06@compton-barnett.biz,7877880115,Lucknow
222,Jeremy Dalton,26,Other,B.Com,4,63,jonesrebecca@yahoo.com,6842326355,Bengaluru
223,Elizabeth Oliver DDS,22,Female,B.Tech,4,70,mikayla13@yahoo.com,3369310571,Pune
224,Theresa Clark,24,Male,BBA,1,36,gweaver@mendez-nielsen.org,3815455278,Kolkata
225,Matthew Moore,17,Female,BBA,4,44,nwilliams@gmail.com,0235640930,Mumbai
226,Benjamin Smith,18,Female,B.Com,3,45,russellkelley@yahoo.com,8919507867,Ahmedabad
227,Kirk Carter,22,Female,B.Tech,1,47,kferguson@howell.com,8191948746,Mumbai
228,Michael Warner,30,Female,Diploma,1,53,hgrant@knight.info,9002415517,Chennai
229,Michael Bradshaw,29,Other,B.Tech,4,37,anthony96@cox.org,7353327028,Mumbai
230,Lori Guerrero,21,Female,B.Tech,4,91,mjohnson@gmail.com,6868584311,Jaipur
231,Jessica Stephens,20,Male,B.Sc,1,76,hardingdavid@gallagher.net,6514947396,Jaipur
232,Susan Serrano,17,Female,MBA,3,61,fsmith@bond.org,0557710302,Mumbai
233,Christopher Parker,20,Other,BBA,4,78,shelleybowers@yahoo.com,0889586979,Jaipur
234,Laura Roberts,26,Other,B.Sc,1,35,teresa17@yahoo.com,3423149452,Delhi
235,Michael Lyons,18,Other,MCA,3,74,janice27@yahoo.com,0620981804,Ahmedabad
236,Kathryn Snyder,18,Male,MBA,4,44,kristendavis@hotmail.com,5141405085,Bengaluru
237,Andrew Reynolds,28,Male,B.Sc,4,39,christopher96@graham.com,7429636412,Pune
238,David Davis,24,Female,MCA,4,90,lcook@cole.com,2543924539,Bengaluru
239,Sara Johnston,30,Male,B.Com,1,40,sabrina18@yahoo.com,4081744253,Jaipur
240,Yvonne Chambers,18,Male,BA,1,84,todd05@yahoo.com,2768209188,Bengaluru
241,Andrew Avila,29,Female,B.Sc,2,37,kirkdonald@crawford-smith.org,6614280970,Lucknow
242,Matthew Moon,25,Male,B.Sc,3,59,brownreginald@roach.info,9096351591,Pune
243,Kevin Walters,29,Female,BBA,1,98,margaretramirez@braun-gordon.net,3170253379,Jaipur
244,Brandon Bailey MD,19,Female,Diploma,2,80,adam17@hotmail.com,0437758725,Bengaluru
245,Shannon Rivera,19,Male,B.Sc,3,56,haleylove@davis.com,2015333003,Kolkata
246,Donna Landry,27,Male,BA,4,83,adam10@yahoo.com,4741331151,Kolkata
247,Krista Gibson,24,Female,B.Sc,3,70,wilsonnathan@bishop.com,9484226631,Jaipur
248,Frank Cordova,25,Male,MBA,2,61,jacob10@cox.info,9903491315,Hyderabad
249,Jose Travis,19,Female,MBA,2,82,jamesjohnson@pacheco.com,6713646351,Mumbai
250,Kimberly Gutierrez,21,Male,MCA,4,46,kruegerjonathan@greer.org,8232534852,Mumbai
251,Isaiah Avila,25,Other,BA,2,42,holly32@hotmail.com,4965775833,Ahmedabad
252,Olivia Harris,30,Male,MCA,3,95,kwatkins@gmail.com,0640641231,Bengaluru
253,Tanya Kim,26,Other,BA,1,63,david44@yahoo.com,4478307501,Jaipur
254,Barbara Dudley,23,Male,B.Com,3,71,fhuff@mcguire.info,0349141052,Jaipur
255,Cynthia Moore,20,Female,B.Sc,1,77,lisa13@ayala.com,6427212645,Lucknow
256,Kristen Davis,25,Other,B.Com,4,37,lwalker@gmail.com,6879674672,Hyderabad
257,Susan Murray MD,29,Other,BA,4,78,jason57@yahoo.com,3013332798,Lucknow
258,Kathleen Moran,28,Female,BBA,2,92,monica26@brown.biz,0267199614,Bengaluru
259,Denise Davenport,28,Other,Diploma,3,30,lwest@robinson.com,8514756160,Ahmedabad
260,Mrs. Kristen Reyes,20,Male,MCA,3,36,tammy53@morse-salinas.com,2606822879,Kolkata
261,Katie Suarez,28,Female,BBA,3,33,amberrivera@gmail.com,1096615929,Delhi
262,Desiree Tyler,21,Other,B.Tech,4,68,tmcintosh@gmail.com,8908850690,Delhi
263,Timothy Romero,23,Male,Diploma,3,47,shane55@gmail.com,7112027302,Pune
264,Diane Evans,27,Other,MBA,4,68,kmoore@gmail.com,1292072230,Jaipur
265,Yvonne Burns,27,Female,B.Sc,3,97,fernandezmathew@rodriguez-snyder.com,3398951113,Mumbai
266,Joshua Reed,22,Male,MBA,3,62,prestoncory@barajas.net,3879278767,Pune
267,Kimberly Gibson,24,Male,MCA,1,52,burkegloria@gmail.com,0842296651,Lucknow
268,Colin Terry,25,Male,Diploma,2,36,janet76@gmail.com,5743062068,Delhi
269,Cynthia Rowe,24,Female,BA,2,67,cynthiasullivan@watson.com,9919872029,Lucknow
270,Patrick Thornton,18,Male,BBA,3,78,whitneyorozco@taylor.org,0084339141,Pune
271,Jasmin Alvarado,20,Male,B.Com,1,78,smithmichelle@hotmail.com,7963305074,Delhi
272,Veronica Simpson,20,Female,MBA,2,65,floresmatthew@arias.org,4327192980,Bengaluru
273,Jonathan Lawrence,18,Other,Diploma,3,85,nschultz@yahoo.com,1616936240,Ahmedabad
274,Shelly Alexander,22,Other,MBA,3,85,fcampbell@hubbard.com,6323813705,Pune
275,Joyce Bowen,17,Other,BBA,3,93,dlarson@erickson-lawrence.com,3762265941,Pune
276,Matthew Moore,26,Other,B.Tech,3,82,elizabethcalderon@smith.com,8516357811,Bengaluru
277,Wayne Morgan,25,Other,B.Tech,2,36,kendra03@merritt.com,6847132901,Mumbai
278,Marie Christian,20,Female,B.Tech,3,71,rosshunter@compton.com,5851185811,Jaipur
279,Shannon James,26,Other,BA,4,85,veronicarogers@jensen.com,0235359682,Mumbai
280,Nathan Malone,20,Female,BBA,4,63,gina52@ward.com,4081235631,Jaipur
281,Amanda Jones,17,Female,MCA,3,50,kstuart@smith.net,0271689278,Bengaluru
282,Tammie Bright,18,Male,BBA,2,31,paynejennifer@baker-osborne.com,8718193834,Mumbai
283,Jessica Garcia,28,Male,MBA,2,69,heather23@hotmail.com,1047308028,Chennai
284,Shelia Wallace,27,Male,B.Sc,2,70,kristopher53@smith.info,1482414304,Lucknow
285,Stephanie Williams,17,Female,BA,3,84,matthewsmith@gmail.com,8942596349,Delhi
286,Elaine Brooks,20,Other,Diploma,4,76,jonesjason@yahoo.com,6893345004,Ahmedabad
287,Joseph Knight,18,Other,MCA,3,92,david62@yahoo.com,1303076617,Mumbai
288,Carolyn Miller,17,Female,B.Tech,2,86,lmedina@brown.com,6846482098,Bengaluru
289,Lisa Allen,30,Male,MCA,1,73,kylechase@smith.org,8181869692,Pune
290,Briana Murray,22,Male,BBA,2,98,ccombs@sanchez-walsh.net,0557247721,Chennai
291,David Smith,18,Female,BBA,3,33,john21@gmail.com,6209160494,Kolkata
292,Stephanie Byrd,25,Male,B.Sc,2,87,ywallace@gmail.com,1901706686,Kolkata
